Year,Month,Type,Category,Reporting Year,Reporting Month,Count
2023,09,HCDC,Aggravated Assault,2023,1,459
2023,09,HCDC,Aggravated Assault,2023,2,356
2023,09,HCDC,Aggravated Assault,2023,3,462
2023,09,HCDC,Aggravated Assault,2023,4,462
2023,09,HCDC,Aggravated Assault,2023,5,547
2023,09,HCDC,Aggravated Assault,2023,6,463
2023,09,HCDC,Aggravated Assault,2023,7,469
2023,09,HCDC,Aggravated Assault,2023,8,469
2023,09,HCDC,Aggravated Assault,2023,9,413
2023,09,HCDC,Aggravated Assault,2022,1,385
2023,09,HCDC,Aggravated Assault,2022,2,354
2023,09,HCDC,Aggravated Assault,2022,3,368
2023,09,HCDC,Aggravated Assault,2022,4,363
2023,09,HCDC,Aggravated Assault,2022,5,416
2023,09,HCDC,Aggravated Assault,2022,6,384
2023,09,HCDC,Aggravated Assault,2022,7,434
2023,09,HCDC,Aggravated Assault,2022,8,393
2023,09,HCDC,Aggravated Assault,2022,9,391
2023,09,HCDC,Aggravated Assault,2021,1,428
2023,09,HCDC,Aggravated Assault,2021,2,345
2023,09,HCDC,Aggravated Assault,2021,3,406
2023,09,HCDC,Aggravated Assault,2021,4,456
2023,09,HCDC,Aggravated Assault,2021,5,468
2023,09,HCDC,Aggravated Assault,2021,6,407
2023,09,HCDC,Aggravated Assault,2021,7,455
2023,09,HCDC,Aggravated Assault,2021,8,430
2023,09,HCDC,Aggravated Assault,2021,9,376
2023,09,HCDC,Aggravated Assault,2020,1,320
2023,09,HCDC,Aggravated Assault,2020,2,270
2023,09,HCDC,Aggravated Assault,2020,3,304
2023,09,HCDC,Aggravated Assault,2020,4,359
2023,09,HCDC,Aggravated Assault,2020,5,417
2023,09,HCDC,Aggravated Assault,2020,6,343
2023,09,HCDC,Aggravated Assault,2020,7,341
2023,09,HCDC,Aggravated Assault,2020,8,368
2023,09,HCDC,Aggravated Assault,2020,9,361
2023,09,HCDC,Aggravated Assault,2019,1,215
2023,09,HCDC,Aggravated Assault,2019,2,171
2023,09,HCDC,Aggravated Assault,2019,3,197
2023,09,HCDC,Aggravated Assault,2019,4,234
2023,09,HCDC,Aggravated Assault,2019,5,268
2023,09,HCDC,Aggravated Assault,2019,6,268
2023,09,HCDC,Aggravated Assault,2019,7,277
2023,09,HCDC,Aggravated Assault,2019,8,270
2023,09,HCDC,Aggravated Assault,2019,9,260
2023,09,TXDPS,Aggravated Assault,2023,1,1895
2023,09,TXDPS,Aggravated Assault,2023,2,1241
2023,09,TXDPS,Aggravated Assault,2023,3,2162
2023,09,TXDPS,Aggravated Assault,2023,4,2094
2023,09,TXDPS,Aggravated Assault,2023,5,2100
2023,09,TXDPS,Aggravated Assault,2023,6,1992
2023,09,TXDPS,Aggravated Assault,2023,7,2105
2023,09,TXDPS,Aggravated Assault,2023,8,2105
2023,09,TXDPS,Aggravated Assault,2023,9,2018
2023,09,TXDPS,Aggravated Assault,2022,1,2112
2023,09,TXDPS,Aggravated Assault,2022,2,1871
2023,09,TXDPS,Aggravated Assault,2022,3,2150
2023,09,TXDPS,Aggravated Assault,2022,4,2105
2023,09,TXDPS,Aggravated Assault,2022,5,2432
2023,09,TXDPS,Aggravated Assault,2022,6,2042
2023,09,TXDPS,Aggravated Assault,2022,7,2225
2023,09,TXDPS,Aggravated Assault,2022,8,2137
2023,09,TXDPS,Aggravated Assault,2022,9,2084
2023,09,TXDPS,Aggravated Assault,2021,1,2227
2023,09,TXDPS,Aggravated Assault,2021,2,1863
2023,09,TXDPS,Aggravated Assault,2021,3,2092
2023,09,TXDPS,Aggravated Assault,2021,4,2243
2023,09,TXDPS,Aggravated Assault,2021,5,2451
2023,09,TXDPS,Aggravated Assault,2021,6,2452
2023,09,TXDPS,Aggravated Assault,2021,7,2479
2023,09,TXDPS,Aggravated Assault,2021,8,2310
2023,09,TXDPS,Aggravated Assault,2021,9,2181
2023,09,TXDPS,Aggravated Assault,2020,1,1358
2023,09,TXDPS,Aggravated Assault,2020,2,1539
2023,09,TXDPS,Aggravated Assault,2020,3,1977
2023,09,TXDPS,Aggravated Assault,2020,4,2087
2023,09,TXDPS,Aggravated Assault,2020,5,2489
2023,09,TXDPS,Aggravated Assault,2020,6,2222
2023,09,TXDPS,Aggravated Assault,2020,7,2335
2023,09,TXDPS,Aggravated Assault,2020,8,2535
2023,09,TXDPS,Aggravated Assault,2020,9,2156
2023,09,TXDPS,Aggravated Assault,2019,1,1038
2023,09,TXDPS,Aggravated Assault,2019,2,986
2023,09,TXDPS,Aggravated Assault,2019,3,1255
2023,09,TXDPS,Aggravated Assault,2019,4,1179
2023,09,TXDPS,Aggravated Assault,2019,5,1398
2023,09,TXDPS,Aggravated Assault,2019,6,1298
2023,09,TXDPS,Aggravated Assault,2019,7,1339
2023,09,TXDPS,Aggravated Assault,2019,8,1345
2023,09,TXDPS,Aggravated Assault,2019,9,1437
2023,09,HCDC,Homicide,2023,1,35
2023,09,HCDC,Homicide,2023,2,26
2023,09,HCDC,Homicide,2023,3,41
2023,09,HCDC,Homicide,2023,4,39
